Republic of Paraguay	-22.99333	-57.99639
Oriental Republic of Uruguay	-33.0	-56.0
Jamaica	18.25	-77.5
Dominican Republic	19.0	-70.66667
Bahamas	24.0	-76.0
Trinidad and Tobago	11.0	-61.0
Saint Kitts and Nevis	17.33333	-62.75
Dominica	15.5	-61.33333
Antigua and Barbuda	17.05	-61.8
Saint Lucia	13.88333	-60.96667
Saint Vincent and the Grenadines	13.08333	-61.2
Grenada	12.11667	-61.66667
Belize	17.25	-88.75
Republic of El Salvador	13.83333	-88.91667
Republic of Honduras	15.0	-86.5
Republic of Nicaragua	13.0	-85.0
Republic of Costa Rica	10.0	-84.0
Republic of Panama	9.0	-80.0
Haiti	19.0	-72.41667
Plurinational State of Bolivia	-17.0	-65.0
Kiribati	-5.0	-170.0
Tonga	-20.0	-175.0
Independent State of Samoa	-13.8031	-172.17831
